customerID,churn_probability,monthly_revenue,annual_revenue_at_risk,retention_priority_score
3957-LXOLK,0.817,106.15,1040.23,86.69
7145-FEJWU,0.821,105.3,1038.01,86.5
0564-JJHGS,0.906,95.5,1037.83,86.49
4927-WWOOZ,0.946,91.45,1037.75,86.48
7234-FECYN,0.853,101.35,1037.54,86.46
2660-EMUBI,0.906,95.35,1037.21,86.43
6615-NGGZJ,0.859,100.55,1036.32,86.36
3068-OMWZA,0.972,88.8,1036.15,86.35
8868-WOZGU,0.817,105.7,1035.69,86.31
8161-QYMTT,0.916,94.1,1034.67,86.22
7526-BEZQB,0.896,96.05,1032.97,86.08
3722-WPXTK,0.974,88.35,1032.72,86.06
4273-MBHYA,0.963,89.35,1032.42,86.03
2430-USGXP,0.851,101.05,1032.25,86.02
4626-GYCZP,0.916,93.85,1031.89,85.99
9025-AOMKI,0.919,93.55,1031.79,85.98
9546-CQJSU,0.94,91.4,1031.31,85.94
3318-NMQXL,0.934,92.0,1031.15,85.93
0115-TFERT,0.772,111.2,1030.65,85.89
0655-RBDUG,0.876,98.05,1030.26,85.85
1309-BXVOQ,0.808,106.1,1029.01,85.75
7943-RQCHR,0.904,94.75,1028.13,85.68
6956-SMUCM,0.865,99.0,1027.85,85.65
2034-GDRCN,0.947,90.4,1027.11,85.59
0306-JAELE,0.89,96.1,1026.68,85.56
3473-XIIIT,0.855,100.0,1025.98,85.5
1450-GALXR,0.868,98.5,1025.62,85.47
6683-VLCTZ,0.867,98.55,1025.56,85.46
9061-TIHDA,0.895,95.25,1023.55,85.3
9172-ANCRX,0.864,98.7,1022.79,85.23
4021-RQSNY,0.865,98.5,1022.55,85.21
2982-VPSGI,0.906,94.0,1021.64,85.14
9094-AZPHK,0.85,100.15,1021.48,85.12
8313-NDOIA,0.817,104.15,1020.88,85.07
2107-FBPTK,0.817,104.1,1020.32,85.03
8111-SLLHI,0.804,105.65,1019.34,84.95
0871-URUWO,0.83,102.25,1018.88,84.91
6210-KBBPI,0.854,99.45,1018.8,84.9
6326-MTTXK,0.841,100.85,1018.06,84.84
6030-REHUX,0.765,110.85,1017.53,84.79
3643-AHCFP,0.886,95.6,1016.94,84.75
5883-GTGVD,0.847,99.95,1016.35,84.7
3320-VEOYC,0.886,95.6,1016.16,84.68
6851-WEFYX,0.838,100.8,1014.24,84.52
5380-WJKOV,0.795,106.35,1014.17,84.51
8414-MYSHR,0.924,91.4,1013.61,84.47
7392-YYPYJ,0.839,100.65,1013.51,84.46
5519-NPHVG,0.896,94.2,1013.06,84.42
5219-YIPTK,0.809,104.4,1012.91,84.41
4597-NUCQV,0.834,101.25,1012.76,84.4
4735-ASGMA,0.858,98.35,1012.73,84.39
2984-AFWNC,0.885,95.4,1012.7,84.39
8510-AWCXC,0.837,100.8,1012.1,84.34
4445-ZJNMU,0.849,99.3,1011.69,84.31
8603-IJWDN,0.974,86.6,1011.77,84.31
3793-MMFUH,0.887,95.05,1011.44,84.29
8245-UMPYT,0.874,96.4,1011.52,84.29
4695-WJZUE,0.952,88.55,1011.37,84.28
2462-XIIJB,0.911,92.5,1011.17,84.26
5293-WXJAK,0.81,104.05,1010.82,84.24
8397-MVTAZ,0.841,100.05,1009.95,84.16
2612-RANWT,0.84,100.15,1009.62,84.14
5565-FILXA,0.875,96.15,1009.11,84.09
5519-YLDGW,0.809,103.9,1009.13,84.09
7225-CBZPL,0.887,94.8,1009.01,84.08
4958-XCBDQ,0.829,101.4,1008.73,84.06
2439-LYPMQ,0.819,102.6,1008.5,84.04
1583-IHQZE,0.744,112.95,1008.26,84.02
6646-VRFOL,0.809,103.85,1007.67,83.97
6645-MXQJT,0.864,97.1,1007.04,83.92
2809-ZMYOQ,0.827,101.35,1005.74,83.81
1658-BYGOY,0.878,95.45,1005.48,83.79
4826-XTSOH,0.974,86.05,1005.32,83.78
7079-QRCBC,0.848,98.75,1004.98,83.75
4060-LDNLU,0.87,96.2,1004.73,83.73
3001-CBHLQ,0.798,104.9,1004.57,83.71
9330-IJWIO,0.834,100.35,1004.18,83.68
9611-CTWIH,0.935,89.45,1004.1,83.68
7892-POOKP,0.798,104.8,1003.99,83.67
8168-UQWWF,0.854,97.85,1002.95,83.58
4484-GLZOU,0.796,105.05,1002.92,83.58
6116-RFVHN,0.832,100.45,1002.49,83.54
6029-WTIPC,0.826,101.1,1002.12,83.51
6892-EZDTG,0.911,91.65,1001.8,83.48
3096-GKWEB,0.881,94.75,1001.68,83.47
5955-ERIHD,0.881,94.7,1001.29,83.44
9809-IMGCQ,0.863,96.7,1001.13,83.43
6215-NQCPY,0.837,99.7,1001.15,83.43
4566-NECEV,0.864,96.55,1000.58,83.38
1626-ERCMM,0.882,94.55,1000.41,83.37
1731-TVIUK,0.891,93.5,999.89,83.32
1104-TNLZA,0.787,105.8,999.21,83.27
3452-GWUIN,0.877,94.95,999.16,83.26
7029-RPUAV,0.829,100.45,998.96,83.25
5192-EBGOV,0.971,85.7,998.54,83.21
3393-FMZPV,0.83,100.25,998.4,83.2
2672-HUYVI,0.913,91.1,997.8,83.15
7969-AULMZ,0.854,97.35,997.39,83.12
1724-BQUHA,0.928,89.5,997.15,83.1
4228-ZGYUW,0.922,90.05,996.73,83.06
2754-SDJRD,0.829,100.15,996.22,83.02
7028-DVOIQ,0.838,99.05,996.27,83.02
2845-AFFTX,0.832,99.8,996.16,83.01
3801-HMYNL,0.931,89.15,995.52,82.96
7780-OTDSO,0.834,99.4,995.21,82.93
1069-XAIEM,0.974,85.05,994.29,82.86
0236-HFWSV,0.888,93.35,994.25,82.85
3001-UNBTL,0.797,103.95,994.24,82.85
1273-MTETI,0.932,88.85,994.19,82.85
9547-ITEFG,0.808,102.6,994.26,82.85
5299-RULOA,0.826,100.25,993.99,82.83
5935-FCCNB,0.879,94.2,993.49,82.79
2357-COQEK,0.801,103.3,992.9,82.74
3440-JPSCL,0.828,99.95,992.76,82.73
9282-IZGQK,0.973,85.0,992.64,82.72
1624-NALOJ,0.92,89.8,991.85,82.65
8622-ZLFKO,0.91,90.75,990.93,82.58
7056-IMHCC,0.81,101.9,990.64,82.55
7142-HVGBG,0.801,103.0,990.18,82.52
7228-OMTPN,0.933,88.45,990.24,82.52
2568-OIADY,0.829,99.5,990.03,82.5
2865-TCHJW,0.924,89.2,989.34,82.44
0939-YAPAF,0.822,100.25,989.12,82.43
0895-DQHEW,0.79,104.3,989.18,82.43
4062-HBMOS,0.8,103.05,989.14,82.43
1254-IZEYF,0.824,99.95,988.83,82.4
7668-XCFYV,0.89,92.55,988.71,82.39
6543-XRMYR,0.826,99.7,988.46,82.37
5095-AESKG,0.9,91.5,987.84,82.32
4847-TAJYI,0.921,89.35,987.73,82.31
5382-SOYZL,0.865,95.1,987.48,82.29
8357-EQXFO,0.862,95.35,986.48,82.21
5644-PDMZC,0.918,89.5,986.47,82.21
9124-LHCJQ,0.962,85.45,986.3,82.19
2990-HWIML,0.918,89.5,985.74,82.15
9851-QXEEQ,0.784,104.7,985.57,82.13
4912-PIGUY,0.97,84.6,985.15,82.1
1389-CXMLU,0.901,91.05,984.56,82.05
9919-KNPOO,0.87,94.3,984.41,82.03
4844-JJWUY,0.954,86.0,984.34,82.03
9253-QXKBE,0.868,94.45,984.1,82.01
0420-HLGXF,0.822,99.75,983.93,81.99
3186-BAXNB,0.894,91.7,983.7,81.98
1666-JXLKU,0.819,100.05,983.66,81.97
4817-VYYWS,0.818,100.2,983.48,81.96
7901-TBKJX,0.811,101.05,983.45,81.95
1028-FFNJK,0.807,101.5,983.28,81.94
4951-UKAAQ,0.921,88.95,983.32,81.94
4433-JCGCG,0.811,101.0,983.03,81.92
0325-XBFAC,0.865,94.7,983.08,81.92
4094-NSEDU,0.869,94.25,982.72,81.89
6474-FVJLC,0.952,86.0,982.69,81.89
6328-ZPBGN,0.861,95.15,982.62,81.89
5647-FXOTP,0.773,105.9,982.44,81.87
7330-WZLNC,0.901,90.8,982.07,81.84
8276-MQBYC,0.837,97.8,981.81,81.82
0337-CNPZE,0.769,106.3,980.83,81.74
0916-QOFDP,0.853,95.8,980.29,81.69
5385-SUIRI,0.784,104.2,980.16,81.68
7402-EYFXX,0.872,93.6,979.89,81.66
1866-RZZQS,0.829,98.4,979.23,81.6
2074-GKOWZ,0.911,89.55,978.92,81.58
6230-BSUXY,0.96,85.0,978.75,81.56
0946-CLJTI,0.826,98.7,978.48,81.54
8634-MPHTR,0.815,100.05,978.43,81.54
1465-VINDH,0.799,102.1,978.53,81.54
3336-JORSO,0.738,110.45,978.19,81.52
3384-CTMSF,0.783,104.1,977.98,81.5
2080-CAZNM,0.781,104.4,977.83,81.49
0722-SVSFK,0.812,100.4,977.73,81.48
9189-JWSHV,0.871,93.55,977.68,81.47
1143-NMNQJ,0.95,85.7,977.38,81.45
5698-BQJOH,0.863,94.4,977.38,81.45
5597-GLBUC,0.953,85.45,977.08,81.42
7209-JCUDS,0.858,94.9,976.87,81.41
9801-GDWGV,0.786,103.45,976.21,81.35
9360-OMDZZ,0.864,94.1,975.57,81.3
7503-ZGUZJ,0.96,84.65,975.33,81.28
6393-WRYZE,0.832,97.65,975.19,81.27
5244-IRFIH,0.86,94.5,975.25,81.27
4289-DTDKW,0.802,101.3,975.05,81.25
5590-BYNII,0.806,100.75,974.77,81.23
2371-JQHZZ,0.873,93.0,974.74,81.23
1628-BIZYP,0.955,85.0,974.05,81.17
0259-GBZSH,0.948,85.65,973.9,81.16
8087-LGYHQ,0.863,94.05,973.88,81.16
6377-WHAOX,0.764,106.15,973.67,81.14
1320-REHCS,0.733,110.75,973.73,81.14
8709-KRDVL,0.811,100.0,973.33,81.11
4446-BZKHU,0.768,105.55,972.99,81.08
2202-CUYXZ,0.955,84.85,972.88,81.07
3338-CVVEH,0.857,94.55,972.9,81.07
5277-ZLOOR,0.947,85.55,972.62,81.05
1751-NCDLI,0.82,98.85,972.43,81.04
1571-SAVHK,0.81,99.95,971.96,81.0
7120-RFMVS,0.958,84.5,971.37,80.95
4853-OITSN,0.908,89.15,971.36,80.95
8374-XGEJJ,0.801,101.0,971.0,80.92
3049-NDXFL,0.943,85.8,970.97,80.91
2645-QTLMB,0.858,94.25,970.37,80.86
8780-IXSTS,0.897,90.1,970.35,80.86
2985-FMWYF,0.865,93.5,970.26,80.86
3097-NQYSN,0.931,86.85,970.25,80.85
3318-OSATS,0.847,95.45,970.25,80.85
4039-HEUNW,0.838,96.5,970.06,80.84
5655-JSMZM,0.84,96.2,969.93,80.83
3462-BJQQA,0.899,89.75,968.07,80.67
0011-IGKFF,0.823,98.0,967.8,80.65
0396-YCHWO,0.845,95.4,967.43,80.62
2786-GCDPI,0.768,104.95,966.79,80.57
4145-UQXUQ,0.874,92.1,965.67,80.47
5138-WVKYJ,0.816,98.55,964.86,80.41
9278-VZKCD,0.737,109.1,964.78,80.4
7480-QNVZJ,0.84,95.7,964.68,80.39
5442-UTCVD,0.875,91.85,964.57,80.38
8593-WHYHV,0.942,85.3,964.51,80.38
1343-EHPYB,0.777,103.4,964.6,80.38
8818-DOPVL,0.769,104.45,964.41,80.37
2180-DXNEG,0.836,96.0,963.61,80.3
6518-LGAOV,0.765,105.0,963.51,80.29
9090-SGQXL,0.762,105.3,963.0,80.25
5923-GXUOC,0.768,104.4,962.68,80.22
2545-EBUPK,0.954,84.05,962.6,80.22
1960-UYCNN,0.842,95.25,962.48,80.21
8290-YWKHZ,0.861,93.2,962.49,80.21
5649-ANRML,0.843,95.1,962.38,80.2
9874-QLCLH,0.769,104.2,962.17,80.18
2034-CGRHZ,0.779,102.95,961.97,80.16
2378-VTKDH,0.768,104.35,961.5,80.12
6877-TJMBR,0.945,84.8,961.47,80.12
9647-ERGBE,0.8,100.05,960.71,80.06
0697-ZMSWS,0.935,85.65,960.66,80.05
6899-PPEEA,0.829,96.55,960.4,80.03
1035-IPQPU,0.773,103.5,960.06,80.0
7752-XUSCI,0.755,105.9,959.96,80.0
6907-NZZIJ,0.807,99.15,959.93,79.99
1010-DIAUQ,0.828,96.5,959.34,79.95
0434-CSFON,0.795,100.5,959.05,79.92
2665-NPTGL,0.814,98.1,958.34,79.86
7233-DRTRF,0.78,102.4,958.15,79.85
0235-KGSLC,0.933,85.55,958.06,79.84
3489-HHPFY,0.95,84.05,957.91,79.83
8938-UMKPI,0.75,106.4,958.01,79.83
2675-DHUTR,0.807,98.9,957.39,79.78
9134-CEQMF,0.891,89.5,957.27,79.77
5364-XYIRR,0.842,94.65,956.87,79.74
1723-HKXJQ,0.784,101.75,956.82,79.74
9600-NAXZN,0.786,101.4,956.24,79.69
4553-DVPZG,0.786,101.35,956.11,79.68
7295-JOMMD,0.811,98.1,954.7,79.56
3629-ZNKXA,0.781,101.8,954.68,79.56
9290-SHCMB,0.821,96.85,954.56,79.55
3565-UNOCC,0.803,99.05,954.45,79.54
0220-EBGCE,0.926,85.85,954.19,79.52
0094-OIFMO,0.837,95.0,954.08,79.51
3990-QYKBE,0.859,92.5,953.15,79.43
0187-QSXOE,0.892,89.0,952.64,79.39
2454-RPBRZ,0.809,98.1,952.18,79.35
3045-XETSH,0.836,94.85,951.74,79.31
6100-QQHEB,0.856,92.55,950.91,79.24
8443-WVPSS,0.794,99.85,950.86,79.24
4750-ZRXIU,0.936,84.6,950.63,79.22
7488-MXJIV,0.924,85.65,949.93,79.16
7714-YXSMB,0.788,100.5,949.78,79.15
5630-IXDXV,0.744,106.35,949.43,79.12
9734-YWGEX,0.805,98.3,949.46,79.12
2697-NQBPF,0.751,105.35,949.28,79.11
1567-DSCIC,0.841,94.0,948.85,79.07
0432-CAJZV,0.872,90.7,948.74,79.06
6212-ATMLK,0.826,95.7,948.59,79.05
2472-OVKUP,0.869,91.0,948.56,79.05
5091-HFAZW,0.867,91.15,948.23,79.02
8337-UPOAQ,0.88,89.8,948.06,79.01
5168-MSWXT,0.834,94.75,947.93,78.99
2832-KJCRD,0.762,103.65,947.71,78.98
6651-AZVTJ,0.791,99.8,947.72,78.98
7089-IVVAZ,0.764,103.35,947.67,78.97
1264-BYWMS,0.815,96.8,947.21,78.93
3874-EQOEP,0.831,95.0,946.86,78.91
2025-JKFWI,0.796,99.0,945.81,78.82
1469-LBJQJ,0.749,105.2,945.4,78.78
3951-NJCVI,0.829,95.05,945.08,78.76
0345-HKJVM,0.881,89.3,944.56,78.71
6710-HSJRD,0.69,114.1,944.32,78.69
0196-VULGZ,0.931,84.35,942.72,78.56
0147-ESWWR,0.776,101.25,942.68,78.56
4952-YSOGZ,0.914,85.95,942.6,78.55
4137-BTIKL,0.865,90.75,942.28,78.52
4115-NZRKS,0.881,89.15,942.13,78.51
2004-OCQXK,0.958,81.95,941.87,78.49
3663-MITLP,0.775,101.25,941.65,78.47
5980-NOPLP,0.816,96.1,941.11,78.43
4548-SDBKE,0.92,85.2,940.74,78.4
4550-VBOFE,0.761,102.95,940.03,78.34
1579-KLYDT,0.866,90.45,940.04,78.34
8937-RDTHP,0.926,84.6,939.97,78.33
7315-WYOAW,0.777,100.75,939.15,78.26
7279-BUYWN,0.691,113.2,938.98,78.25
2929-ERCFZ,0.83,94.2,938.0,78.17
1641-RQDAY,0.779,100.4,937.98,78.16
4220-TINQT,0.735,106.35,937.79,78.15
2754-VDLTR,0.821,95.2,937.77,78.15
3588-WSTTJ,0.789,99.05,937.26,78.1
0899-LIIBW,0.774,100.85,937.02,78.08
8949-JTMAY,0.791,98.6,936.34,78.03
8785-CJSHH,0.781,99.8,935.73,77.98
8266-VBFQL,0.862,90.4,935.26,77.94
2013-SGDXK,0.924,84.3,934.62,77.89
4140-MUHUG,0.897,86.85,934.4,77.87
6630-UJZMY,0.935,83.25,934.32,77.86
4236-XPXAV,0.785,99.15,934.04,77.84
0302-JOIVN,0.769,101.15,933.29,77.77
4614-NUVZD,0.958,81.1,932.75,77.73
4112-LUEIZ,0.868,89.5,932.53,77.71
9279-CJEOJ,0.814,95.4,932.39,77.7
3932-CMDTD,0.735,105.65,931.6,77.63
6457-USBER,0.961,80.8,931.33,77.61
3585-ISXZP,0.811,95.65,930.92,77.58
0480-BIXDE,0.801,96.8,930.27,77.52
4686-UXDML,0.776,99.85,929.84,77.49
8739-XNIKG,0.922,84.0,929.77,77.48
6198-RTPMF,0.836,92.6,929.39,77.45
4998-IKFSE,0.771,100.45,929.29,77.44
6599-RCLCJ,0.707,109.55,928.88,77.41
4124-MMETB,0.818,94.65,928.67,77.39
5947-SGKCL,0.734,105.35,928.52,77.38
9661-ACXBS,0.735,105.2,928.07,77.34
4803-AXVYP,0.777,99.55,927.93,77.33
6969-MVBAI,0.858,90.1,927.75,77.31
0148-DCDOS,0.816,94.7,927.47,77.29
6168-YBYNP,0.694,111.35,927.39,77.28
9601-BRXPO,0.736,104.95,927.23,77.27
5339-PXDVH,0.852,90.65,927.02,77.25
1013-QCWAM,0.766,100.8,927.04,77.25
4598-XLKNJ,0.784,98.5,927.05,77.25
0447-RXSGD,0.775,99.65,927.01,77.25
1932-UEDCX,0.768,100.6,926.92,77.24
4391-RESHN,0.742,104.05,926.81,77.23
0318-QUUOB,0.959,80.55,926.63,77.22
4423-YLHDV,0.739,104.4,926.17,77.18
3217-FZDMN,0.817,94.45,925.48,77.12
3005-NFMTA,0.78,98.8,924.71,77.06
2587-EKXTS,0.691,111.5,924.62,77.05
7439-DKZTW,0.956,80.55,924.44,77.04
2018-QKYGT,0.95,81.05,923.78,76.98
6137-NICCO,0.819,94.05,923.79,76.98
4716-HHKQH,0.719,107.05,923.65,76.97
6275-YDUVO,0.893,86.2,923.47,76.96
6986-IXNDM,0.828,92.9,923.37,76.95
6583-KQJLK,0.813,94.65,922.96,76.91
6772-KSATR,0.941,81.7,922.83,76.9
7048-GXDAY,0.723,106.4,922.5,76.88
6088-BXMRG,0.777,98.85,922.26,76.86
3727-RJMEO,0.928,82.85,922.21,76.85
9451-LPGOO,0.884,86.8,920.94,76.75
5331-RGMTT,0.775,99.05,921.02,76.75
0771-WLCLA,0.679,112.95,920.59,76.72
3312-UUMZW,0.776,98.85,920.32,76.69
9600-UDOPK,0.815,94.05,920.26,76.69
7156-MHUGY,0.847,90.5,920.27,76.69
9133-AYJZG,0.777,98.7,920.14,76.68
4077-CROMM,0.736,104.2,919.75,76.65
4971-PUYQO,0.811,94.55,919.86,76.65
2277-DJJDL,0.774,99.0,919.48,76.62
0125-LZQXK,0.756,101.35,919.33,76.61
5494-HECPR,0.955,80.25,919.27,76.61
0258-NOKBL,0.847,90.4,918.41,76.53
7779-LGOVN,0.883,86.65,918.23,76.52
0280-XJGEX,0.738,103.7,917.95,76.5
9300-RENDD,0.957,79.95,918.02,76.5
2800-QQUSO,0.762,100.3,917.64,76.47
5959-BELXA,0.795,96.15,917.65,76.47
0495-RVCBF,0.96,79.7,917.69,76.47
0324-BRPCJ,0.763,100.2,917.16,76.43
8535-SFUTN,0.718,106.45,916.62,76.39
9971-ZWPBF,0.701,108.9,916.5,76.37
5275-SQEIZ,0.945,80.85,916.46,76.37
3597-MVHJT,0.799,95.6,916.18,76.35
1195-OIYEJ,0.838,91.1,916.26,76.35
0114-PEGZZ,0.71,107.55,916.22,76.35
2360-RDGRO,0.732,104.25,915.95,76.33
2868-MZAGQ,0.962,79.25,914.56,76.21
5515-AKOAJ,0.761,100.1,914.13,76.18
8800-ZKRFW,0.709,107.5,914.14,76.18
5229-PRWKT,0.88,86.55,913.94,76.16
2840-XANRC,0.818,93.15,913.84,76.15
1761-AEZZR,0.957,79.55,913.74,76.14
9129-UXERG,0.735,103.6,913.52,76.13
7903-CMPEY,0.948,80.3,913.33,76.11
3211-AAPKX,0.772,98.55,913.36,76.11
2514-GINMM,0.957,79.5,913.2,76.1
8058-INTPH,0.955,79.65,912.89,76.07
9741-YLNTD,0.864,87.95,912.17,76.01
4813-HQMGZ,0.842,90.25,912.0,76.0
5348-CAGXB,0.849,89.55,911.95,76.0
8610-WFCJF,0.794,95.6,911.33,75.94
9402-ORRAH,0.83,91.5,911.27,75.94
2027-WKXMW,0.698,108.75,910.75,75.9
3545-CNWRG,0.772,98.35,910.59,75.88
8580-AECUZ,0.959,79.1,910.5,75.87
2867-UIMSS,0.942,80.5,909.79,75.82
6567-HOOPW,0.957,79.2,909.75,75.81
8972-HJWNV,0.896,84.55,909.44,75.79
3198-VELRD,0.894,84.75,909.34,75.78
9851-KIELU,0.688,110.1,908.8,75.73
5960-WPXQM,0.958,79.05,908.38,75.7
3791-LGQCY,0.752,100.65,908.37,75.7
4395-PZMSN,0.885,85.55,908.32,75.69
1173-XZPYF,0.849,89.2,908.27,75.69
8784-CGILN,0.758,99.85,907.96,75.66
0742-NXBGR,0.919,82.3,907.69,75.64
5055-MGMGF,0.72,105.05,907.42,75.62
8740-CRYFY,0.958,78.95,907.31,75.61
1925-TIBLE,0.874,86.5,907.08,75.59
3768-NLUBH,0.751,100.6,906.31,75.53
2249-YPRNG,0.713,105.85,906.11,75.51
5569-OUICF,0.745,101.3,906.11,75.51
7493-TPUWZ,0.953,79.15,905.04,75.42
4009-ALQFH,0.758,99.5,904.98,75.41
0576-WNXXC,0.789,95.55,904.74,75.4
5536-RTPWK,0.761,99.05,904.81,75.4
8382-SHQEH,0.888,84.9,904.43,75.37
9878-TNQGW,0.931,80.95,904.16,75.35
2642-DTVCO,0.886,85.05,903.97,75.33
3398-FSHON,0.825,91.3,903.86,75.32
0195-IESCP,0.883,85.25,903.79,75.32
7594-RQHXR,0.946,79.6,903.71,75.31
1285-OKIPP,0.942,79.9,903.63,75.3
2038-LLMLM,0.725,103.85,903.38,75.28
8468-EHYJA,0.755,99.65,903.01,75.25
6900-PXRMS,0.711,105.75,902.89,75.24
1548-FEHVL,0.708,106.2,902.68,75.22
5318-IXUZF,0.863,87.15,902.53,75.21
5429-LWCMV,0.843,89.15,902.31,75.19
3352-ALMCK,0.732,102.65,902.16,75.18
8429-XIBUM,0.742,101.35,901.84,75.15
2067-QYTCF,0.676,111.15,901.82,75.15
8035-PWSEV,0.842,89.25,901.55,75.13
5119-KEPFY,0.79,95.0,900.68,75.06
